#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Shape of You","Ed Sheeran",89,96,"pop, singer-songwriter pop, uk pop","Pop","÷ (Deluxe)",2017-03-03,03:53,83,65,58,0,93,0,0,-3,C♯/D♭ Minor,4,2022-05-11,7qiZfU4dY1lWllzX7mPBI3,"Atlantic Records UK",12A,https://p.scdn.co/mp3-preview/7339548839a263fd721d01eb3364a848cad16fa7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96
2,"Believer","Imagine Dragons",90,125,"modern rock, pop, rock","Rock, Pop","Evolve",2017-06-23,03:24,78,78,6,0,67,10,0,-4,A#/B♭ Minor,4,2022-05-11,0pqnGHJpmpxLKifKRmU6WP,"Kid Ina Korner / Interscope",3A,,https://i.scdn.co/image/ab67616d000048515675e83f707f1d7271e5cf8a
3,"Despacito","Luis Fonsi,Daddy Yankee",82,178,"latin pop, puerto rican pop, latin hip hop, reggaeton, trap latino, urbano latino","Hip Hop, Pop, Latin","VIDA",2019-02-01,03:49,66,80,20,0,84,10,0,-5,D Major,4,2022-05-11,6habFhsOp2NvshLv26DqMb,"UMLE - Latino",10B,,https://i.scdn.co/image/ab67616d00004851ef0d4234e1a645740f77d59c
4,"Bad Things (with Camila Cabello)","Machine Gun Kelly,Camila Cabello",74,138,"ohio hip hop, pop rap, dance pop, pop","Pop, Hip Hop","bloom",2017-05-12,03:59,70,69,21,0,31,10,10,-5,D Major,4,2022-05-11,1PSBzsahR2AKwLJgx8ehBj,"Bad Boy / Interscope",10B,,https://i.scdn.co/image/ab67616d00004851748388a726648841ed81027e
5,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit,Sean Paul,Anne-Marie",77,102,"pop, uk dance, uk funky, dance pop, dancehall, pop rap","Pop, World/Traditional, Hip Hop, Electronic","Rockabye (feat. Sean Paul & Anne-Marie)",2016-10-21,04:11,72,76,41,0,74,0,10,-4,A Minor,4,2022-05-11,5knuzwU65gJK7IF5yJsuaW,"Atlantic Records UK",8A,https://p.scdn.co/mp3-preview/e2ffc646cf90e4e5b71e277394e093c3fbe49357?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511431c3bdf16aa99f71799d95
6,"Havana (feat. Young Thug)","Camila Cabello,Young Thug",82,105,"dance pop, pop, atl hip hop, atl trap, gangster rap, melodic rap, rap, trap","Hip Hop, Pop","Camila",2018-01-12,03:37,77,52,18,0,39,0,10,-4,D Major,4,2022-05-11,1rfofaqEpACxVEHIZBJe6W,"Syco Music/Epic",10B,https://p.scdn.co/mp3-preview/49653dbbec996f228cb6edc046d318cd5a249ee6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516eb0b9e73adcf04e4ed3eca4
7,"Thunder","Imagine Dragons",88,168,"modern rock, pop, rock","Rock, Pop","Evolve",2017-06-23,03:07,61,82,1,13,29,0,10,-5,C Major,4,2022-05-11,1zB4vmk8tFRmM9UULNzbLB,"Kid Ina Korner / Interscope",8B,,https://i.scdn.co/image/ab67616d000048515675e83f707f1d7271e5cf8a
8,"Don't Wanna Know (feat. Kendrick Lamar)","Maroon 5,Kendrick Lamar",65,100,"pop, conscious hip hop, hip hop, rap, west coast rap","Hip Hop, Pop","Red Pill Blues (Deluxe)",2018-06-15,03:34,78,61,34,0,42,0,10,-6,G Major,4,2022-05-11,1nueTG77MzNkJTKQ0ZdGzT,"Interscope Records*",9B,,https://i.scdn.co/image/ab67616d00004851fc4852898bc6ed85b3e3f89c
9,"Something Just Like This","The Chainsmokers,Coldplay",88,103,"pop, permanent wave","Rock, Pop","Memories...Do Not Open",2017-04-07,04:07,62,64,5,0,45,0,10,-7,B Minor,4,2022-05-11,6RUKPb4LETWmmr3iAEQktW,"Disruptor Records/Columbia",10A,https://p.scdn.co/mp3-preview/4e117abe76700eb13e9e0557fa2d9c44b565b9da?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510c13d3d5a503c84fcc60ae94
10,"Perfect","Ed Sheeran",90,95,"pop, singer-songwriter pop, uk pop","Pop","÷ (Deluxe)",2017-03-03,04:23,60,45,16,0,17,0,10,-6,G#/A♭ Major,3,2022-05-11,0tgVpDi06FyKpA1z0VMD4v,"Atlantic Records UK",4B,https://p.scdn.co/mp3-preview/4e30857a3c7da3f8891483643e310bb233afadd2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96
11,"That's What I Like","Bruno Mars",89,134,"dance pop, pop","Pop","24K Magic",2016-11-17,03:26,85,56,1,0,86,0,0,-5,C♯/D♭ Major,4,2022-05-11,0KKkJNfGyhkQ5aFogxQAPU,"Atlantic Records",3B,https://p.scdn.co/mp3-preview/93046e987d8c5bfdbeea2768ac1a8ecea17bd7e0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851232711f7d66a1e19e89e28c5
12,"Say You Won't Let Go","James Arthur",88,85,"pop, talent show, uk pop","Pop","Back from the Edge",2016-10-28,03:31,36,56,70,0,49,0,0,-7,A#/B♭ Major,4,2022-05-11,5uCax9HTNlzGybIStD3vDh,"Columbia",6B,https://p.scdn.co/mp3-preview/2eed95a3c08cd10669768ce60d1140f85ba8b951?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485120beb61f61fcbeb33b10a9ab
13,"There's Nothing Holdin' Me Back","Shawn Mendes",88,122,"canadian pop, pop, viral pop","Pop","Illuminate (Deluxe)",2017-04-20,03:19,87,81,38,0,97,0,0,-4,B Minor,4,2022-05-11,7JJmb5XwzOO8jgpou264Ml,"Island Records",10A,,https://i.scdn.co/image/ab67616d00004851ea3ef7697cfd5705b8f47521
14,"Too Good At Goodbyes","Sam Smith",87,92,"pop, uk pop","Pop","The Thrill Of It All (Special Edition)",2017-11-03,03:21,68,37,64,0,48,0,10,-8,F Major,4,2022-05-11,1mXVgsBdtIVeCLJnSnmtdV,"Capitol",7B,,https://i.scdn.co/image/ab67616d00004851005cd7d0ae87b081601f6cca
15,"Look What You Made Me Do","Taylor Swift",87,128,"pop","Pop","reputation",2017-11-10,03:31,77,71,20,0,51,10,10,-6,A Minor,4,2022-05-11,1P17dC1amhFzptugyAO7Il,"Big Machine Records, LLC",8A,,https://i.scdn.co/image/ab67616d00004851da5d5aeeabacacc1263c0f4b
16,"Passionfruit","Drake",87,112,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Hip Hop, Pop","More Life",2017-03-18,04:58,81,46,26,9,36,0,10,-11,B Major,4,2022-05-11,5mCPDVBb16L4XQwDdbRUpz,"Cash Money Records/Young Money Ent./Universal Rec.",1B,,https://i.scdn.co/image/ab67616d000048514f0fd9dad63977146e685700
17,"goosebumps","Travis Scott",87,130,"hip hop, rap, slap house","Hip Hop, Electronic","Birds In The Trap Sing McKnight",2016-09-16,04:03,84,73,8,0,43,0,10,-3,G Major,4,2022-05-11,6gBFPUFcJLzWGx4lenP6h2,"Cactus Jack / Epic",9B,https://p.scdn.co/mp3-preview/5c45fee2743d39984ed2c1e2493d04a42d626f81?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f54b99bf27cda88f4a7403ce
18,"Love On The Brain","Rihanna",87,172,"barbadian pop, pop, urban contemporary","Pop, Hip Hop","ANTI (Deluxe)",2016-01-28,03:44,51,64,7,0,38,0,0,-5,E Minor,3,2022-05-11,5oO3drDxtziYU2H1X23ZIp,"Roc Nation / Rihanna",9A,,https://i.scdn.co/image/ab67616d0000485133c6b920eabcf4c00d7a1093
19,"HUMBLE.","Kendrick Lamar",86,150,"conscious hip hop, hip hop, rap, west coast rap","Hip Hop","DAMN.",2017-04-14,02:57,91,62,0,0,42,10,10,-7,C♯/D♭ Minor,4,2022-05-11,7KXjTSCq5nL1LoYtL7XAwS,"Aftermath",12A,,https://i.scdn.co/image/ab67616d000048518b52c6b9bc4e43d873869699
20,"Unforgettable","French Montana,Swae Lee",86,98,"hip hop, pop rap, rap, southern hip hop, trap, melodic rap","Hip Hop","Jungle Rules",2017-07-14,03:53,73,77,3,1,73,10,10,-5,F#/G♭ Major,4,2022-05-11,3B54sVLJ402zGa6Xm4YGNe,"Bad Boy Entertainment/Epic Records",2B,https://p.scdn.co/mp3-preview/f8d5e3c37feb980e60cac2df4256250d4b5cf5b5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518a31195a371b2233456f6c07
