,artist_id,artist_name,genres
0,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop
1,4bw2Am3p9ji3mYsXNXtQcd,Piso 21,"colombian pop,latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino"
2,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,"colombian pop,reggaeton,reggaeton colombiano,trap latino,urbano latino"
3,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,"puerto rican pop,reggaeton,trap latino,urbano latino"
4,5hdhHgpxyniooUiQVaPxQ0,Nio Garcia,"reggaeton,trap latino,urbano latino"
5,1fux65HMCBvfJHqlBc4Nno,Casper Magico,"reggaeton,reggaeton flow,trap latino,urbano latino"
6,4q3ewBCX7sLwd24euuV69X,Bad Bunny,"reggaeton,trap latino,urbano latino"
7,1TtXnWcUs0FCkaZDPGYHdf,Darell,"latin hip hop,reggaeton,trap latino,urbano latino"
8,1SupJlEpv7RS2tPNRaHViT,Nicky Jam,"latin hip hop,reggaeton,trap latino,urbano latino"
9,0vR2qb8m9WHeZ5ByCbimq2,Reik,"latin arena pop,latin pop,mexican pop,reggaeton,urbano latino"
10,3E6xrwgnVfYCrCs0ePERDz,Wisin,"reggaeton,urbano latino"
11,1r4hJ1h58CWwUQe3MxPuau,Maluma,"latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino"
12,1B0Rp4SWGnFgGCPU5Pju6E,Nego do Borel,"funk carioca,funk das antigas,funk ostentacao,funk pop,sertanejo universitario"
13,4obzFoKoKRHIphyHzJ35G3,Becky G,"latin pop,latin viral pop,rap latina,reggaeton,trap latino,urbano latino"
14,1GDbiv3spRmZ1XdM1jQbT7,NATTI NATASHA,"latin pop,rap latina,reggaeton,urbano latino"
15,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,"reggaeton,reggaeton colombiano,trap latino,urbano latino"
16,3uwAm6vQy7kWPS2bciKWx9,girl in red,"bedroom pop,indie pop,norwegian indie,pov: indie"
17,4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,"latin pop,puerto rican pop"
18,6S2OmqARrzebs0tKUEyXyp,Demi Lovato,"pop,post-teen pop"
19,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"conscious hip hop,hip hop,rap,west coast rap"
20,3qBKjEOanahMxlRojwCzhI,Zacari,none
21,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,"latin hip hop,reggaeton,trap latino,urbano latino"
22,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian contemporary r&b,canadian pop,pop"
23,0haZhu4fFKt0Ag94kZDiz2,Sofía Reyes,"latin pop,latin viral pop,mexican pop,reggaeton"
24,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,"dance pop,pop"
25,3EiLUeyEcA6fbRPSHkG5kb,De La Ghetto,"reggaeton,reggaeton flow,trap latino,urbano latino"
26,4kYSro6naA4h99UJvo89HB,Cardi B,"pop,rap"
27,540vIaP2JwjQb9dm3aArA4,DJ Snake,"dance pop,edm,electronic trap,pop,pop dance"
