Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5Gu0PDLN4YJeW75PpBSg9p,"5p7f24Rk5HkUZsaS3BLG5F,4AVFqumd2ogHFlRbKIjp1t,3b8QkneNDz4JHKKKlLgYZg,4olE3I5QU0dvSR7LIpqTXc","Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld,Alesso,Florida Georgia Line,WATT",2017-09-08,174800,78,spotify:user:,2018-12-24T12:02:48Z,"pop,dance pop,edm,pop dance,progressive electro house,contemporary country,country,country pop,country road,modern country rock,modern alternative rock",0.664,0.708,8,-4.154,1,0.0474,0.0337,0,0.0841,0.742,103.07,4
59ljpSFcgtfWJKS3vqG27R,"2wY79sveU1sp5g7SokKOiI","Pray","The Thrill Of It All (Special Edition)","Sam Smith",2017-11-03,221595,1,spotify:user:,2018-12-24T12:02:48Z,"pop,uk pop",0.535,0.382,4,-9.465,0,0.0426,0.282,0.0000114,0.0865,0.147,87.801,3
6e40mgJiCid5HRAGrbpGA6,"5rSXSAkZ67PYJSvpUpkOr7","I Want It That Way","The Hits--Chapter One","Backstreet Boys",2001-10-23,213600,70,spotify:user:,2018-12-24T12:02:48Z,"boy band,dance pop,pop",0.689,0.702,6,-5.642,0,0.0261,0.216,0,0.159,0.484,99.031,4
5I8oEqbk2ZBmQfXCrZbUFb,"7n2wHs1TKAczGzO7Dd2rGr","Fallin' All In You","Shawn Mendes","Shawn Mendes",2018-05-25,235746,0,spotify:user:,2018-12-24T12:02:48Z,"canadian pop,pop,viral pop",0.853,0.477,8,-6.697,1,0.0362,0.401,0,0.111,0.8,92.03,4
4ROD16K3Ju9rmnYWJuzKTS,"6dn6x1XOng3LOAnfTjUn77","Used to Be","Used to Be","AJ Mitchell",2017-06-16,174793,0,spotify:user:,2018-12-24T12:02:48Z,"alt z,pop",0.631,0.474,2,-6.355,0,0.0365,0.73,0,0.0962,0.257,120.833,4
5SxkdsY1ufZzoq9iXceLw9,"66CXWjxzNUsdJxJ2JdwvnR","no tears left to cry","no tears left to cry","Ariana Grande",2018-04-20,205946,1,spotify:user:,2018-12-24T12:02:48Z,"pop",0.703,0.696,0,-5.482,1,0.0529,0.0375,0.00000565,0.274,0.366,121.969,4
4eWQlBRaTjPPUlzacqEeoQ,"4nDoRrQiYLoBzwC5BhVJzF","Never Be the Same","Camila","Camila Cabello",2018-01-12,226973,75,spotify:user:,2018-12-24T12:02:48Z,"dance pop,pop",0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,4
2iLGgm4O5Hia8aSfSzXS3H,"6VuMaDnrHyPL1p4EHjYLi7,6O74knDqdv3XaWtkII7Xjp","If You Leave Me Now (feat. Boyz II Men)","If You Leave Me Now (feat. Boyz II Men)","Charlie Puth,Boyz II Men",2018-01-04,242161,0,spotify:user:,2018-12-24T12:02:48Z,"pop,viral pop,boy band,contemporary r&b,new jack swing,r&b,urban contemporary",0.435,0.274,9,-7.84,1,0.0358,0.902,0,0.158,0.422,136.123,3
77dKw8xescRmg2Fk3jr0Hv,"6wwj6pIJdMJJyDQsQVtPzR","Bless the Broken Road","Under the Covers","Jess and Gabriel",2017-02-15,180809,36,spotify:user:,2018-12-24T12:02:48Z,"social media pop",0.647,0.138,4,-16.123,1,0.0441,0.855,0,0.112,0.279,121.956,4
5IF6IBPqbclVR7SQKmCIyA,"57WHJIHrjOE3iAxpihhMnp","Just Like You","Just Like You","Louis Tomlinson",2017-10-12,205217,55,spotify:user:,2018-12-24T12:02:48Z,"pop",0.703,0.628,0,-5.914,1,0.203,0.364,0,0.384,0.471,138.032,4
2BOqDYLOJBiMOXShCV1neZ,"6ydoSd3N2mwgwBHtF6K7eX","Dancing On My Own","Only Human (Deluxe)","Calum Scott",2018-03-09,260285,83,spotify:user:,2018-12-24T12:02:48Z,"pop",0.681,0.174,1,-8.745,1,0.0315,0.837,0.0000335,0.0983,0.231,112.672,4
55S2PQgSMYAhgoTCcGCDfw,"5Rl15oVamLq7FbSb0NNBNy","Youngblood","Youngblood","5 Seconds of Summer",2018-04-12,203417,70,spotify:user:,2018-12-24T12:02:48Z,"boy band,pop",0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,4
12gnUTEnxL6PYN06RX2Je1,"3iri9nBFs9e4wN7PLIetAw","imagine if","imagine if","gnash",2018-06-08,197216,0,spotify:user:,2018-12-24T12:02:48Z,"alt z,pop",0.907,0.452,8,-6.673,1,0.187,0.568,0,0.244,0.691,92.063,4
6lvsJDZ7336YmpBzcNGhbe,"5ZsFI1h6hIdQRw2ti0hz81","fOoL fOr YoU","Mind Of Mine (Deluxe Edition)","ZAYN",2016-03-25,202213,68,spotify:user:,2018-12-24T12:02:48Z,"pop,uk pop",0.52,0.513,7,-7.208,1,0.0256,0.281,0,0.0976,0.17,77.903,4
7wvYmO5QscgIDDT0eNwbYX,"7n2wHs1TKAczGzO7Dd2rGr","Lost In Japan","Lost In Japan","Shawn Mendes",2018-03-23,200133,0,spotify:user:,2018-12-24T12:02:48Z,"canadian pop,pop,viral pop",0.726,0.708,7,-6.908,0,0.356,0.303,0,0.348,0.417,105.084,4
0u2P5u6lvoDfwTYjAADbn4,"6qqNVTkY8uBg9cP3Jd7DAH,6LuN9FCkKOj5PcnpouEgny","lovely (with Khalid)","lovely (with Khalid)","Billie Eilish,Khalid",2018-04-19,200185,91,spotify:user:,2018-12-24T12:02:48Z,"art pop,pop,pop r&b",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
4YutJsNwBBInE8vemufpQ8,"6KImCVD70vtIoJWnq6nGn3","Girl Crush - Recorded at Metropolis Studios, London","Spotify Singles","Harry Styles",2017-09-27,243804,71,spotify:user:,2018-12-24T12:02:48Z,"pop",0.468,0.197,4,-11.727,1,0.033,0.658,0,0.109,0.249,144.212,3
3by8IfnW9dZ2t4pZw1WVxz,"6S2OmqARrzebs0tKUEyXyp","Stone Cold","Confident","Demi Lovato",2015-01-01,191307,70,spotify:user:,2018-12-24T12:02:48Z,"pop,post-teen pop",0.419,0.453,8,-7.685,1,0.0437,0.539,0,0.0971,0.356,140.327,3
4dMvtp8p5mzCCaA18dgzQy,"6VuMaDnrHyPL1p4EHjYLi7","I Don't Wanna Know - Live from Spotify Studios NYC","Spotify Singles","Charlie Puth",2017-08-23,215882,51,spotify:user:,2018-12-24T12:02:48Z,"pop,viral pop",0.431,0.0748,11,-13.615,0,0.0516,0.98,0.00000324,0.114,0.367,98.188,4
2HGymMoOdB4ZYv0AAqYmgF,"6xvpfMjWTougrRRtK7iikz","Famous","Famous","Mason Ramsey",2018-04-27,192520,42,spotify:user:,2018-12-24T12:02:48Z,"contemporary country,country",0.534,0.815,5,-2.815,1,0.0278,0.708,0,0.111,0.564,159.848,4
0v2LUO8oTHnkjQ8MmKuXyk,"66CXWjxzNUsdJxJ2JdwvnR","raindrops (an angel cried)","Sweetener","Ariana Grande",2018-08-17,37640,63,spotify:user:,2018-12-24T12:02:48Z,"pop",0.336,0.231,1,-6.217,1,0.0497,0.942,0,0.188,0.429,168.685,5
