,genres,genre_counts,year,is_latin
0,alt z,6,2018,nonlatin
1,art pop,4,2018,nonlatin
2,atl hip hop,2,2018,nonlatin
3,atl trap,1,2018,nonlatin
4,australian dance,1,2018,nonlatin
5,australian pop,2,2018,nonlatin
6,banda,1,2018,latin
7,boy band,7,2018,nonlatin
8,british soul,2,2018,nonlatin
9,brostep,1,2018,nonlatin
10,canadian contemporary r&b,1,2018,nonlatin
11,canadian pop,10,2018,nonlatin
12,contemporary country,4,2018,nonlatin
13,contemporary r&b,1,2018,nonlatin
14,corrido,1,2018,latin
15,country,4,2018,nonlatin
16,country pop,2,2018,nonlatin
17,country road,3,2018,nonlatin
18,cumbia sonorense,1,2018,latin
19,dance pop,16,2018,nonlatin
20,dance rock,1,2018,nonlatin
21,dark r&b,2,2018,nonlatin
22,edm,3,2018,nonlatin
23,funk pop,1,2018,nonlatin
24,funk rj,1,2018,nonlatin
25,gangster rap,1,2018,nonlatin
26,girl group,1,2018,nonlatin
27,hollywood,1,2018,nonlatin
28,indie anthem-folk,1,2018,latin
29,latin pop,1,2018,latin
30,melodic rap,2,2018,nonlatin
31,metropopolis,1,2018,nonlatin
32,modern alternative rock,2,2018,nonlatin
33,modern country rock,3,2018,nonlatin
34,modern rock,4,2018,nonlatin
35,movie tunes,1,2018,nonlatin
36,musica costena,1,2018,latin
37,musica mexicana,2,2018,latin
38,musica potosina,1,2018,latin
39,neo mellow,1,2018,nonlatin
40,new jack swing,1,2018,nonlatin
41,none,4,2018,unknown
42,norteno,2,2018,latin
43,norteno-sax,1,2018,latin
44,nz pop,1,2018,nonlatin
45,pagode baiano,1,2018,latin
46,pop,83,2018,nonlatin
47,pop dance,2,2018,nonlatin
48,pop nacional,1,2018,latin
49,pop r&b,4,2018,nonlatin
50,pop rock,1,2018,nonlatin
51,pop soul,2,2018,nonlatin
52,pop worship,1,2018,nonlatin
53,post-teen pop,10,2018,nonlatin
54,progressive electro house,3,2018,nonlatin
55,puerto rican pop,1,2018,latin
56,r&b,2,2018,nonlatin
57,rap,3,2018,nonlatin
58,rebel blues,1,2018,nonlatin
59,sierreno,1,2018,latin
60,singer-songwriter pop,2,2018,nonlatin
61,social media pop,3,2018,nonlatin
62,talent show,4,2018,nonlatin
63,teen pop,1,2018,nonlatin
64,tejano,1,2018,latin
65,trap,2,2018,nonlatin
66,uk pop,12,2018,nonlatin
67,urban contemporary,1,2018,nonlatin
68,viral pop,14,2018,nonlatin
69,worship,1,2018,nonlatin
70,pop,0,2018,nonlatin
71,dance pop,0,2018,nonlatin
72,edm,0,2018,nonlatin
73,pop dance,0,2018,nonlatin
74,progressive electro house,0,2018,nonlatin
75,contemporary country,0,2018,nonlatin
76,country,0,2018,nonlatin
77,country pop,0,2018,nonlatin
78,country road,0,2018,nonlatin
79,modern country rock,0,2018,nonlatin
80,modern alternative rock,0,2018,nonlatin
81,uk pop,0,2018,nonlatin
82,boy band,0,2018,nonlatin
83,canadian pop,0,2018,nonlatin
84,viral pop,0,2018,nonlatin
85,alt z,0,2018,nonlatin
86,contemporary r&b,0,2018,nonlatin
87,new jack swing,0,2018,nonlatin
88,r&b,0,2018,nonlatin
89,urban contemporary,0,2018,nonlatin
90,social media pop,0,2018,nonlatin
91,art pop,0,2018,nonlatin
92,pop r&b,0,2018,nonlatin
93,post-teen pop,0,2018,nonlatin
94,modern rock,0,2018,nonlatin
95,rap,0,2018,nonlatin
96,talent show,0,2018,nonlatin
97,metropopolis,0,2018,nonlatin
98,nz pop,0,2018,nonlatin
99,british soul,0,2018,nonlatin
100,pop soul,0,2018,nonlatin
101,singer-songwriter pop,0,2018,nonlatin
102,atl hip hop,0,2018,nonlatin
103,atl trap,0,2018,nonlatin
104,gangster rap,0,2018,nonlatin
105,melodic rap,0,2018,nonlatin
106,trap,0,2018,nonlatin
107,hollywood,0,2018,nonlatin
108,movie tunes,0,2018,nonlatin
109,indie anthem-folk,0,2018,latin
110,dance rock,0,2018,nonlatin
111,neo mellow,0,2018,nonlatin
112,pop rock,0,2018,nonlatin
113,brostep,0,2018,nonlatin
114,latin pop,0,2018,latin
115,puerto rican pop,0,2018,latin
116,australian dance,0,2018,nonlatin
117,australian pop,0,2018,nonlatin
118,corrido,0,2018,latin
119,musica mexicana,0,2018,latin
120,musica potosina,0,2018,latin
121,norteno,0,2018,latin
