Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2qT1uLXPVPzGgFOx4jtEuo,"66CXWjxzNUsdJxJ2JdwvnR","no tears left to cry","Sweetener","Ariana Grande",2018-08-17,205920,79,spotify:user:,2020-06-22T07:16:14Z,"pop",0.699,0.713,9,-5.507,0,0.0594,0.04,0.00000311,0.294,0.354,121.993,4
1j6xOGusnyXq3l6IryKF3G,"4bw2Am3p9ji3mYsXNXtQcd,0tmwSHipWxN12fsoLcFU3B","Déjala Que Vuelva (feat. Manuel Turizo)","Ubuntu","Piso 21,Manuel Turizo",2018-05-11,220116,83,spotify:user:,2020-06-22T07:16:14Z,"colombian pop,latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino",0.681,0.788,1,-4.323,1,0.0785,0.0482,0,0.0753,0.839,170.019,4
48zFZh27QU5qsrBjn4C2FA,"1i8SpTcr7yvPOmcqrbnVXY,0tmwSHipWxN12fsoLcFU3B","Vaina Loca","Aura","Ozuna,Manuel Turizo",2018-08-24,176133,78,spotify:user:,2020-06-22T07:16:14Z,"puerto rican pop,reggaeton,trap latino,urbano latino,colombian pop,reggaeton colombiano",0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.982,4
3V8UKqhEK5zBkBb6d6ub8i,"5hdhHgpxyniooUiQVaPxQ0,1fux65HMCBvfJHqlBc4Nno,4q3ewBCX7sLwd24euuV69X,1TtXnWcUs0FCkaZDPGYHdf,1i8SpTcr7yvPOmcqrbnVXY,1SupJlEpv7RS2tPNRaHViT","Te Boté - Remix","Te Boté (Remix)","Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam",2018-04-13,417920,78,spotify:user:,2020-06-22T07:16:14Z,"reggaeton,trap latino,urbano latino,reggaeton flow,latin hip hop,puerto rican pop",0.903,0.675,11,-3.445,0,0.214,0.542,0.0000128,0.0595,0.442,96.507,4
5OCJzvD7sykQEKHH7qAC3C,"66CXWjxzNUsdJxJ2JdwvnR","God is a woman","Sweetener","Ariana Grande",2018-08-17,197546,79,spotify:user:,2020-06-22T07:16:14Z,"pop",0.602,0.658,1,-5.934,1,0.0558,0.0233,0.00006,0.237,0.268,145.031,4
4ggiDYAkJ7Yk8d5xOr7Xjo,"0vR2qb8m9WHeZ5ByCbimq2,1i8SpTcr7yvPOmcqrbnVXY,3E6xrwgnVfYCrCs0ePERDz","Me Niego (feat. Ozuna & Wisin)","Ahora","Reik,Ozuna,Wisin",2019-05-31,221653,74,spotify:user:,2020-06-22T07:16:14Z,"latin arena pop,latin pop,mexican pop,reggaeton,urbano latino,puerto rican pop,trap latino",0.777,0.782,0,-4.435,0,0.0907,0.0505,0,0.64,0.773,94.023,4
5cepAtqnEQ6yVG6088zMMu,"1r4hJ1h58CWwUQe3MxPuau,1B0Rp4SWGnFgGCPU5Pju6E","Corazón (feat. Nego do Borel)","F.A.M.E.","Maluma,Nego do Borel",2018-05-18,184720,73,spotify:user:,2020-06-22T07:16:14Z,"latin pop,reggaeton,reggaeton colombiano,trap latino,urbano latino,funk carioca,funk das antigas,funk ostentacao,funk pop,sertanejo universitario",0.722,0.738,9,-6.073,0,0.247,0.328,0.0000147,0.198,0.748,198.075,4
2ijef6ni2amuunRoKTlgww,"4obzFoKoKRHIphyHzJ35G3,1GDbiv3spRmZ1XdM1jQbT7","Sin Pijama","Sin Pijama","Becky G,NATTI NATASHA",2018-04-20,188560,69,spotify:user:,2020-06-22T07:16:14Z,"latin pop,latin viral pop,rap latina,reggaeton,trap latino,urbano latino",0.791,0.745,11,-3.695,0,0.0464,0.354,0.0000293,0.104,0.82,94.014,4
5YUyW9opqNsMSEzzecZih1,"1SupJlEpv7RS2tPNRaHViT,1vyhD5VmyZ7KMfW5gqLgo5","X","Intimo","Nicky Jam,J Balvin",2019-11-01,172854,76,spotify:user:,2020-06-22T07:16:14Z,"latin hip hop,reggaeton,trap latino,urbano latino,reggaeton colombiano",0.594,0.749,9,-5.298,0,0.056,0.0338,0.00106,0.3,0.694,179.968,4
6IPwKM3fUUzlElbvKw2sKl,"3uwAm6vQy7kWPS2bciKWx9","we fell in love in october","we fell in love in october / October Passed Me By","girl in red",2018-11-21,184153,91,spotify:user:,2021-03-03T05:29:35Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,4
