Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
75ls0gurX68lUmMjE7QcsE,"3gIRvgZssIb9aiirIg0nI3","all the kids are depressed","glisten","Jeremy Zucker",2018-05-04,169973,74,spotify:user:,2019-12-12T20:16:08Z,"alt z,electropop,pop",0.773,0.437,9,-8.281,1,0.0963,0.836,0.0000242,0.544,0.707,103.861,4
5p7ujcrUXASCNwRaWNHR1C,"26VFTg2z8YR0cCuwLzESi2","Without Me","Without Me","Halsey",2018-10-04,201660,76,spotify:user:,2019-12-12T20:16:08Z,"electropop,etherpop,indie poptimism,pop",0.752,0.488,6,-7.05,1,0.0705,0.297,0.00000911,0.0936,0.533,136.041,4
4y3OI86AEP6PQoDE6olYhO,"7gOdHgIoIKoe4i9Tta6qdD","Sucker","Sucker","Jonas Brothers",2019-03-01,181040,1,spotify:user:,2019-12-12T20:16:08Z,"boy band,pop",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
07ipXN6CNTw34qwSYePKpg,"5Y8eJDj37KhaEeqbVO7Ag1","Summer on You","Summer on You","PRETTYMUCH",2018-06-21,205791,58,spotify:user:,2019-12-12T20:16:08Z,"boy band,post-teen pop,teen pop",0.811,0.447,4,-6.55,1,0.0414,0.636,0,0.462,0.694,99.995,4
7COXchtUOMd6uIT6HvmRaI,"5JZ7CnR6gTvEMKX4g70Amv,3WGpXCj9YhhfX11TToZcXP","i'm so tired...","i'm so tired...","Lauv,Troye Sivan",2019-01-24,162582,1,spotify:user:,2019-12-12T20:16:08Z,"pop,australian pop,viral pop",0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,4
4wCmqSrbyCgxEXROQE6vtV,"2AsusXITU8P25dlRNhcAbG,6hk7Yq1DU9QcCCrz9uc0Ti","Somebody That I Used To Know","Making Mirrors","Gotye,Kimbra",2011-01-01,244973,78,spotify:user:,2019-12-12T20:16:08Z,"australian pop,bergen indie,electropop,nz pop",0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,4
1Fo4OvzP9PThFKMeMIAEYu,"5JZ7CnR6gTvEMKX4g70Amv","Superhero","Superhero","Lauv",2018-08-30,179997,0,spotify:user:,2019-12-12T20:16:08Z,"pop",0.681,0.34,7,-8.617,1,0.0339,0.82,0,0.285,0.417,129.98,4
18uwL0vNUanqZH0ro2QcOP,"3gIRvgZssIb9aiirIg0nI3","comethru","summer,","Jeremy Zucker",2018-09-28,181613,80,spotify:user:,2019-12-12T20:16:08Z,"alt z,electropop,pop",0.795,0.178,0,-11.991,1,0.0574,0.607,0,0.623,0.608,93.982,4
41zXlQxzTi6cGAjpOXyLYH,"6qqNVTkY8uBg9cP3Jd7DAH","idontwannabeyouanymore","dont smile at me","Billie Eilish",2017-12-22,203569,82,spotify:user:,2019-12-12T20:16:08Z,"art pop,pop",0.483,0.412,7,-8.461,1,0.0402,0.737,0,0.116,0.247,170.163,3
5WtfUKzXircvW8l5aaVZWT,"0ZED1XzwlLHW4ZaG4lOT6m,1Hsdzj7Dlq2I7tHP7501T4","What A Time (feat. Niall Horan)","Inner Monologue Part 1","Julia Michaels,Niall Horan",2019-01-24,173306,81,spotify:user:,2019-12-12T20:16:08Z,"pop",0.516,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861,4
14JzyD6FlBD5z0wV5P07YI,"6qqNVTkY8uBg9cP3Jd7DAH","when the party's over","when the party's over","Billie Eilish",2018-10-17,199931,0,spotify:user:,2019-12-12T20:16:08Z,"art pop,pop",0.498,0.104,1,-14.08,0,0.0621,0.979,0.0000786,0.0895,0.205,124.001,3
01k24g94i1JvkFLQmVEdCd,"5vBSrE1xujD2FXYRarbAXc","If You're Over Me","If You're Over Me","Years & Years",2018-05-10,189000,53,spotify:user:,2019-12-12T20:16:08Z,"dance pop,gauze pop,pop,pop dance,uk pop",0.647,0.853,8,-4.516,1,0.0904,0.0615,0,0.062,0.618,103.846,4
4OBZT9EnhYIV17t4pGw7ig,"20wkVLutqVOYrc0kxFs7rA,3Y7RZ31TRPVadSFVy1o8os","Best Part (feat. H.E.R.)","H.E.R.","Daniel Caesar,H.E.R.",2017-10-20,209400,71,spotify:user:,2019-12-12T20:16:08Z,"canadian contemporary r&b,r&b,rap",0.473,0.371,4,-10.219,0,0.0405,0.793,0,0.109,0.413,75.205,4
14msK75pk3pA33pzPVNtBF,"66CXWjxzNUsdJxJ2JdwvnR","7 rings","7 rings","Ariana Grande",2019-01-18,178640,0,spotify:user:,2019-12-12T20:16:08Z,"pop",0.725,0.321,1,-10.744,0,0.323,0.578,0,0.0884,0.319,70.142,4
1RGasjWLZ4qMN7wbtkLa3u,"6qqNVTkY8uBg9cP3Jd7DAH","my boy","dont smile at me","Billie Eilish",2017-12-22,170852,75,spotify:user:,2019-12-12T20:16:08Z,"art pop,pop",0.692,0.394,11,-8.745,0,0.207,0.472,0.000191,0.117,0.324,89.936,4
0Uxf6QvpNI8o1FiSMEW0XO,"7zkwepHPyac6tCYl0fL0co","Ain't Right","Tell Your Friends","ASTN",2017-12-20,186253,0,spotify:user:,2019-12-12T20:16:08Z,"bedroom soul",0.573,0.409,3,-13.305,0,0.318,0.771,0,0.0688,0.655,91.299,4
7qEHsqek33rTcFNT9PFqLf,"4GNC7GD6oZMSxPGyXy4MNB","Someone You Loved","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,182160,91,spotify:user:,2019-12-12T20:16:08Z,"pop,uk pop",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
