Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0yLdNVWF3Srea0uzk55zFn,"5YGY8feqx7naU7z4HrwZM6","Flowers","Flowers","Miley Cyrus",2023-01-13,200454,54,spotify:user:nick170708%21,2023-01-13T00:30:56Z,"pop",0.707,0.681,0,-4.325,1,0.0668,0.0632,0.00000515,0.0322,0.646,117.999,4
1Qrg8KqiBpW07V7PNxwwwL,"7tYKF4w9nC0nq9CsPZTHyP","Kill Bill","SOS","SZA",2022-12-08,153946,91,spotify:user:nick170708%21,2023-01-07T03:24:37Z,"pop,r&b,rap",0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
2dHHgzDwk4BJdRwy9uXhTO,"0iEtIxbK0KxaSlF7G42ZOp,1Xyo4u8uXC1ZmMpatF05PJ,1URnnhqYAYcrqrcwql10ft","Creepin' (with The Weeknd & 21 Savage)","HEROES & VILLAINS","Metro Boomin,The Weeknd,21 Savage",2022-12-02,221520,91,spotify:user:nick170708%21,2023-01-07T03:24:44Z,"rap,canadian contemporary r&b,canadian pop,pop,atl hip hop,hip hop",0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,4
3k79jB4aGmMDUQzEwa46Rz,"1McMsnEElThX1knmY4oliG","vampire","vampire","Olivia Rodrigo",2023-06-30,219724,70,spotify:user:nick170708%21,2023-06-30T10:17:27Z,"pop",0.511,0.532,5,-5.745,1,0.056,0.169,0,0.311,0.322,137.827,4
4OMJGnvZfDvsePyCwRGO7X,"6M2wZ9GZgrQXHCFfjv46we","Houdini","Houdini","Dua Lipa",2023-11-09,185917,92,spotify:user:nick170708%21,2023-11-10T01:09:56Z,"dance pop,pop,uk pop",0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,4
6AQbmUe0Qwf5PZnt4HmTXv,"78rUTD7y6Cy67W1RVzYs7t,3LZZPxNDGDFVSIPqf4JuEf","Boy's a liar Pt. 2","Boy's a liar Pt. 2","PinkPantheress,Ice Spice",2023-02-03,131013,87,spotify:user:nick170708%21,2023-02-10T10:04:06Z,"bedroom pop,bronx drill",0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4
2IGMVunIBsBLtEQyoI1Mu7,"5cj0lLjcoR7YOSnhnX0Po5","Paint The Town Red","Paint The Town Red","Doja Cat",2023-08-04,231750,96,spotify:user:nick170708%21,2023-08-04T10:14:48Z,"dance pop,pop",0.868,0.538,5,-8.603,1,0.174,0.269,0.00000334,0.0901,0.732,99.968,4
4nrPB8O7Y7wsOCJdgXkthe,"716NhGYqD1jl2wI1Qkgq36,0EmeFodog0BfCgMzAIvKQp","Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap,Shakira",2023-01-11,214945,85,spotify:user:nick170708%21,2023-01-13T13:25:10Z,"argentine hip hop,pop venezolano,trap argentino,trap latino,urbano latino,colombian pop,dance pop,latin pop,pop",0.778,0.632,2,-5.6,0,0.0493,0.274,0,0.0915,0.498,122.104,4
7oDd86yk8itslrA9HRP2ki,"1Xyo4u8uXC1ZmMpatF05PJ,66CXWjxzNUsdJxJ2JdwvnR","Die For You - Remix","Die For You (Remix)","The Weeknd,Ariana Grande",2023-02-24,232857,83,spotify:user:nick170708%21,2023-02-24T10:14:07Z,"canadian contemporary r&b,canadian pop,pop",0.531,0.525,1,-6.5,0,0.0671,0.232,0,0.441,0.502,66.9,4
1BxfuPKGuaTgP7aM0Bbdwr,"06HL4z0CvFAxyc27GXpf02","Cruel Summer","Lover","Taylor Swift",2019-08-23,178426,99,spotify:user:nick170708%21,2023-06-30T10:17:30Z,"pop",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
6wf7Yu7cxBSPrRlWeSeK0Q,"6qqNVTkY8uBg9cP3Jd7DAH","What Was I Made For? [From The Motion Picture Barbie]","What Was I Made For? [From The Motion Picture Barbie]","Billie Eilish",2023-07-13,222369,94,spotify:user:nick170708%21,2023-07-14T04:09:40Z,"art pop,pop",0.444,0.0911,0,-17.665,1,0.0307,0.959,0.00000105,0.098,0.142,78.403,4
3rUGC1vUpkDG9CZFHMur1t,"45dkTj5sMRSjrmBSBeiHym","greedy","greedy","Tate McRae",2023-09-15,131872,100,spotify:user:nick170708%21,2023-09-16T15:01:05Z,"alt z,pop",0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1
7x9aauaA9cu6tyfpHnqDLo,"6HaGTQPmzraVmaVxvz6EUc,3MdXrJWsbVzdn6fe5JYkSQ","Seven (feat. Latto) (Explicit Ver.)","Seven (feat. Latto)","Jung Kook,Latto",2023-07-14,184400,94,spotify:user:nick170708%21,2023-07-20T23:14:17Z,"k-pop,trap queen",0.802,0.832,11,-4.107,1,0.0434,0.311,0,0.0815,0.89,124.997,4
1vYXt7VSjH9JIM5oRRo7vA,"6M2wZ9GZgrQXHCFfjv46we","Dance The Night - From Barbie The Album","Dance The Night (From Barbie The Album)","Dua Lipa",2023-05-25,176579,93,spotify:user:nick170708%21,2023-05-26T09:44:35Z,"dance pop,pop,uk pop",0.671,0.845,11,-4.93,0,0.048,0.0207,0,0.329,0.775,110.056,4
7KokYm8cMIXCsGVmUvKtqf,"06HL4z0CvFAxyc27GXpf02","Karma","Midnights","Taylor Swift",2022-10-21,204852,88,spotify:user:nick170708%21,2023-05-24T00:18:30Z,"pop",0.642,0.62,8,-7.091,1,0.0666,0.0734,0,0.483,0.0969,90.02,4
3dnP0JxCgygwQH9Gm7q7nb,"0XeEobZplHxzM9QzFQWLiR,12GqGscKJx3aE4t07u7eVZ","Ella Baila Sola","Ella Baila Sola","Eslabon Armado,Peso Pluma",2023-03-16,165671,87,spotify:user:nick170708%21,2023-04-03T15:50:22Z,"corrido,corridos tumbados,sad sierreno,sierreno",0.668,0.758,5,-5.176,0,0.0332,0.483,0.0000189,0.0837,0.834,147.989,3
5L3ecxQnQ9qTBmnLQiwf0C,"0Y5tJX1MQlPlqiwlOH1tJY,4q3ewBCX7sLwd24euuV69X,1Xyo4u8uXC1ZmMpatF05PJ","K-POP","K-POP","Travis Scott,Bad Bunny,The Weeknd",2023-07-21,185220,83,spotify:user:nick170708%21,2023-07-21T04:21:19Z,"hip hop,rap,slap house,reggaeton,trap latino,urbano latino,canadian contemporary r&b,canadian pop,pop",0.814,0.618,5,-5.614,0,0.0619,0.0386,0.00000334,0.671,0.535,121.075,4
741UUVE2kuITl0c6zuqqbO,"0hCNtLu0JehylgoiP8L4Gh,3LZZPxNDGDFVSIPqf4JuEf,6kBjAFKyd0he7LiA5GQ3Gz","Barbie World (with Aqua) [From Barbie The Album]","Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj,Ice Spice,Aqua",2023-06-23,109750,88,spotify:user:nick170708%21,2023-06-27T22:13:15Z,"hip pop,pop,queens hip hop,rap,bronx drill,bubblegum dance,eurodance,europop",0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,4
6iF4RgIjDvDqyW13PezSj3,"0C8ZW7ezQVs4URX5aX7Kqx","Single Soon","Single Soon","Selena Gomez",2023-08-25,171655,87,spotify:user:nick170708%21,2023-08-25T14:18:34Z,"pop,post-teen pop",0.61,0.571,2,-5.649,1,0.0782,0.00863,0,0.131,0.747,105.01,4
7FbrGaHYVDmfr7KoLIZnQ7,"4GJ6xDCF5jaUqD6avOuQT6","Cupid - Twin Ver.","The Beginning: Cupid","FIFTY FIFTY",2023-02-24,174253,85,spotify:user:nick170708%21,2023-04-22T03:51:18Z,"k-pop girl group",0.783,0.592,11,-8.332,0,0.0331,0.435,0.00000415,0.347,0.726,120.018,4
2i8f4VnnBjy0yDqH2C452a,"1McMsnEElThX1knmY4oliG","bad idea right?","bad idea right?","Olivia Rodrigo",2023-08-11,184783,66,spotify:user:nick170708%21,2023-08-11T10:07:36Z,"pop",0.628,0.878,9,-3.468,1,0.0901,0.00196,0.0000123,0.0649,0.796,129.976,4
0V3wPSX9ygBnCm8psDIegu,"06HL4z0CvFAxyc27GXpf02","Anti-Hero","Midnights","Taylor Swift",2022-10-21,200690,92,spotify:user:nick170708%21,2023-01-07T03:25:00Z,"pop",0.637,0.643,4,-6.571,1,0.0519,0.13,0.0000018,0.142,0.533,97.008,4
0Nfh4u0J4bajcyp5pzaWCx,"5YGY8feqx7naU7z4HrwZM6","Used To Be Young","Used To Be Young","Miley Cyrus",2023-08-25,191185,79,spotify:user:nick170708%21,2023-08-25T14:18:45Z,"pop",0.451,0.632,4,-3.843,1,0.0475,0.6,0,0.139,0.455,147.06,4
0WtM2NBVQNNJLh6scP13H8,"46pWGuE3dSwY3bMMXGBvVS,0C8ZW7ezQVs4URX5aX7Kqx","Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema,Selena Gomez",2022-08-25,239317,90,spotify:user:nick170708%21,2023-01-07T03:25:14Z,"afrobeats,nigerian pop,pop,post-teen pop",0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
5odlY52u43F5BjByhxg7wg,"164Uj4eKjl6zTBKfJLFKKK","golden hour","this is what ____ feels like (Vol. 1-4)","JVKE",2022-09-23,209259,85,spotify:user:nick170708%21,2023-01-07T03:25:23Z,"modern indie pop,pov: indie,singer-songwriter pop",0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,3
5WxVXxCMRnvxUKFq40ELwq,"5KKpBU5eC2tJDzf0wmlRp2,12Zk1DFhCbHY6v3xep2ZjI","Escapism.","Escapism. (Sped Up)","RAYE,070 Shake",2022-11-25,272373,10,spotify:user:nick170708%21,2023-01-07T03:25:20Z,"uk contemporary r&b,uk pop,new jersey rap",0.538,0.742,2,-5.355,1,0.114,0.138,0.0000467,0.0934,0.25,96.107,4
1bDbXMyjaUIooNwFE9wn0N,"3TVXtAsR1Inumwj472S9r4,1URnnhqYAYcrqrcwql10ft","Rich Flex","Her Loss","Drake,21 Savage",2022-11-04,239359,86,spotify:user:nick170708%21,2023-01-08T19:15:26Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,atl hip hop",0.561,0.52,11,-9.342,0,0.244,0.0503,0.00000186,0.355,0.424,153.15,3
0DWdj2oZMBFSzRsi2Cvfzf,"790FomKkXshlbRYZFtlgla,0EmeFodog0BfCgMzAIvKQp","TQG","MAÑANA SERÁ BONITO","KAROL G,Shakira",2023-02-24,197933,89,spotify:user:nick170708%21,2023-02-25T13:01:29Z,"reggaeton,reggaeton colombiano,trap latino,urbano latino,colombian pop,dance pop,latin pop,pop",0.72,0.63,4,-3.547,0,0.277,0.673,0,0.0936,0.607,179.974,4
4MjDJD8cW7iVeWInc2Bdyj,"4q3ewBCX7sLwd24euuV69X","MONACO","nadie sabe lo que va a pasar mañana","Bad Bunny",2023-10-13,267194,97,spotify:user:nick170708%21,2023-10-13T15:33:12Z,"reggaeton,trap latino,urbano latino",0.787,0.621,4,-5.009,0,0.068,0.15,0.000402,0.58,0.13,139.056,4
3nqQXoyQOWXiESFLlDF1hG,"2wY79sveU1sp5g7SokKOiI,3Xt3RrJMFv5SZkCfUE8C1J","Unholy (feat. Kim Petras)","Unholy (feat. Kim Petras)","Sam Smith,Kim Petras",2022-09-22,156943,85,spotify:user:nick170708%21,2023-01-07T03:24:41Z,"pop,uk pop,alt z,transpop",0.714,0.472,2,-7.375,1,0.0864,0.013,0.00000451,0.266,0.238,131.121,4
1odExI7RdWc4BT515LTAwj,"33NVpKoXjItPwUJTMZIOiY","Daylight","Daylight","David Kushner",2023-04-14,212953,94,spotify:user:nick170708%21,2023-04-28T13:47:09Z,"gen z singer-songwriter",0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,4
4Dvkj6JhhA12EX05fT7y2e,"6KImCVD70vtIoJWnq6nGn3","As It Was","Harry's House","Harry Styles",2022-05-20,167303,94,spotify:user:nick170708%21,2023-01-07T03:24:47Z,"pop",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
4uUG5RXrOk84mYEfFvj3cK,"1Cs0zKBU1kc0i8ypK3B9ai,64M6ah0SkkRsnPGtGiRAbb","I'm Good (Blue)","I'm Good (Blue)","David Guetta,Bebe Rexha",2022-08-26,175238,91,spotify:user:nick170708%21,2023-02-23T18:23:44Z,"big room,dance pop,edm,pop,pop dance",0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4
4P9Q0GojKVXpRTJCaL3kyy,"06HL4z0CvFAxyc27GXpf02","All Of The Girls You Loved Before","All Of The Girls You Loved Before","Taylor Swift",2019-08-23,221407,84,spotify:user:nick170708%21,2023-03-18T13:49:49Z,"pop",0.718,0.467,2,-9.66,1,0.0398,0.707,0.0000692,0.126,0.396,95.96,3
1Y3LN4zO1Edc2EluIoSPJN,"5XKFrudbV4IiuE5WuTPRmT,7o2ZQYM7nTsaVdkXY38UAA","Until I Found You (with Em Beihold) - Em Beihold Version","Until I Found You (Em Beihold Version)","Stephen Sanchez,Em Beihold",2022-04-22,176440,89,spotify:user:nick170708%21,2023-01-07T03:25:07Z,"gen z singer-songwriter,alt z",0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,3
5Y35SjAfXjjG0sFQ3KOxmm,"7tYKF4w9nC0nq9CsPZTHyP","Nobody Gets Me","SOS","SZA",2022-12-09,180853,83,spotify:user:nick170708%21,2023-01-07T18:50:59Z,"pop,r&b,rap",0.358,0.284,7,-8.285,1,0.0285,0.805,0,0.183,0.276,99.796,3
0QHEIqNKsMoOY5urbzN48u,"6JL8zeS1NmiOftqZTRgdTz","Made You Look","Takin' It Back","Meghan Trainor",2022-10-21,134256,85,spotify:user:nick170708%21,2023-01-07T03:25:17Z,"hip pop,pop",0.838,0.525,10,-3.562,1,0.0665,0.345,0.00000192,0.0771,0.884,144.981,4
3r8RuvgbX9s7ammBn07D3W,"6HvZYsbFfjnjFrWF950C9d","Ditto","Ditto","NewJeans",2022-12-19,185506,84,spotify:user:nick170708%21,2023-01-07T03:25:10Z,"k-pop,k-pop girl group",0.814,0.641,6,-5.957,0,0.111,0.027,0,0.0993,0.183,133.854,4
